run_id,run_name,location,best_trial_test_rmse,best_trial_cv_rmse,best_trial_test_r2,best_trial_generalization_gap_rmse, rel_gap, rel_gap_tag,best_trial_cv_stability,best_trial_cv_stability_tag,improvement_vs_baseline_percent,improvement_vs_bu_forecast_percent,tag_location,tag_model_type
683e9c33-1227-4d6a-a446-46e79eddad08,hyperopt_Room_Credits___GM___N/A_20251125_104213,Room Credits - GM - N/A,11.74081304,9.410967555,0.985652037,2.329845481,0.247567051,4. Moderate gap – some overfitting risk,0.060118724,2. Moderately stable – acceptable variation,53.59234928,66.34580255,Room Credits - GM - N/A,XGBoost
a23b9af9-81c5-46e2-81c5-eb975972f7b3,hyperopt_Room_Credits___BT___N/A_20251125_105131,Room Credits - BT - N/A,8.663584977,7.284661468,0.921466111,1.378923509,0.189291365,4. Moderate gap – some overfitting risk,0.074048981,2. Moderately stable – acceptable variation,12.01050772,33.14203563,Room Credits - BT - N/A,XGBoost
0589a87a-134c-4a23-9897-b6d00eb778b4,hyperopt_FO_Transactions_Weighted___GM___N/A_20251125_110325,FO Transactions Weighted - GM - N/A,15.85853771,12.78804181,0.86523162,3.070495893,0.240106807,4. Moderate gap – some overfitting risk,0.052262075,2. Moderately stable – acceptable variation,4.163139049,13.94544193,FO Transactions Weighted - GM - N/A,XGBoost
4579c6d3-b487-4bb1-81a8-f5c7cc7f41a1,hyperopt_FO_Transactions_Weighted___SW___N/A_20251125_110559,FO Transactions Weighted - SW - N/A,9.279617711,7.834873559,0.609142226,1.444744152,0.184399166,4. Moderate gap – some overfitting risk,0.053971013,2. Moderately stable – acceptable variation,48.71235897,39.08435519,FO Transactions Weighted - SW - N/A,XGBoost
256d2b64-2ff3-4991-a6ee-29700ad455ef,hyperopt_Played_Machines___GM___MASS_20251125_110848,Played Machines - GM - MASS,127.4624823,105.0423667,0.681862713,22.42011567,0.21343879,4. Moderate gap – some overfitting risk,0.082842457,2. Moderately stable – acceptable variation,3.221314875,-12.29062637,Played Machines - GM - MASS,XGBoost
605acd01-23a4-437c-b4b4-decf80523fe7,hyperopt_Cage_Transactions___SW___MASS_20251125_111410,Cage Transactions - SW - MASS,45.64595224,19.41086686,0.119047786,26.23508538,1.351566912,6. Severe gap – poor generalization,0.109219145,2. Moderately stable – acceptable variation,51.80874089,64.71139716,Cage Transactions - SW - MASS,XGBoost
cd0c8ce1-db10-4afa-83a2-3dbdf98a487d,hyperopt_Played_Machines___SW___N/A_20251125_112115,Played Machines - SW - N/A,17.89014078,31.14589639,0.930643909,-13.25575561,-0.425601994,1. Test better than CV (possible lucky split),0.18705588,3. Unstable – noticeable variation across folds,69.52093545,30.14519787,Played Machines - SW - N/A,XGBoost
f46065ea-30a5-402b-ba33-96f8d23ba433,hyperopt_Cage_Transactions___GM___PM_20251125_112918,Cage Transactions - GM - PM,26.11783629,20.31970808,0.596505239,5.79812821,0.285345054,5. Large gap – noticeable overfitting,0.155429976,3. Unstable – noticeable variation across folds,23.8610809,46.49898073,Cage Transactions - GM - PM,XGBoost
e7caaf03-35b4-43d9-8b9b-bd20415774b6,hyperopt_Card_Consumptions___SW___CR_20251125_104659,Card Consumptions - SW - CR,8.440528605,4.457230536,0.996608551,3.983298069,0.893671089,6. Severe gap – poor generalization,0.178228363,3. Unstable – noticeable variation across folds,8.332450263,68.02826137,Card Consumptions - SW - CR,XGBoost
f3fe1dd9-c049-4649-b105-fc6eb44add70,hyperopt_Card_Consumptions___GM___CR_20251125_104853,Card Consumptions - GM - CR,35.65155936,14.15061421,0.981302377,21.50094515,1.51943547,6. Severe gap – poor generalization,0.282636657,3. Unstable – noticeable variation across folds,-3.654306899,-23.05905579,Card Consumptions - GM - CR,XGBoost
2af51547-a2c2-40f8-a159-dc990711763b,hyperopt_Played_Machines___GM___PREMIUM_20251125_111125,Played Machines - GM - PREMIUM,24.01510148,38.68680509,0.675327906,-14.6717036,-0.379243093,1. Test better than CV (possible lucky split),0.355887896,4. Highly unstable – inconsistent performance,13.87372733,3.94456232,Played Machines - GM - PREMIUM,XGBoost
2a45a836-7299-4b78-8830-7a71c22d0932,hyperopt_Cage_Transactions___GM___MASS_20251125_112716,Cage Transactions - GM - MASS,98.45393085,47.41151775,0.416310233,51.0424131,1.076582559,6. Severe gap – poor generalization,0.364062155,4. Highly unstable – inconsistent performance,-7.957638488,-4.21197733,Cage Transactions - GM - MASS,XGBoost
