FT_CalendarDate,Location,DayOfWeek,Month,isWeekend,isMacauHoliday,isChinaHoliday,consecutiveChina,consecutiveMacau,DayOfMonth,Year,is_weekend,is_month_start,EventSize_MinMax,EventSize_Category,days_to_holiday,holiday_weight,holiday_decay,weekendHoliday,Actual
2024-01-01,Chiu Chow - Pak Loh - GM,1,1,0,1,1,3,3,1,2024,0,1,0.0,None,0.0,1.0,0.0,0,535.0
2024-01-02,Chiu Chow - Pak Loh - GM,2,1,0,0,0,0,0,2,2024,0,0,0.0,None,93.0,7.641593914129471e-13,6.387142293058423e-21,0,340.0
2024-01-03,Chiu Chow - Pak Loh - GM,3,1,0,0,0,0,0,3,2024,0,0,0.0,None,92.0,1.0315072848906858e-12,1.0530617357553812e-20,0,326.0
2024-03-20,Chiu Chow - Pak Loh - GM,3,3,0,0,0,0,0,20,2024,0,0,0.0,None,15.0,0.011108996538242306,0.0005530843701478336,0,316.0
